"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
2067460,"São José da Laje","AL",2,1,1,402.4,451.8,371.3,549.2,340
1095221,"Rio Largo","AL",2,2,1,457.2,401.9,406.5,444.8,580
17756,"Marechal Deodoro","AL",2,1,1,467.2,437.6,449.1,424.5,480
1148127,"Satuba","AL",2,1,1,446.9,406.6,365,513.6,440
2717975,"Água Branca","AL",2,1,1,,,,,
2710324,"Maragogi","AL",1,1,1,413,520.4,462.4,445.6,900
1677547,"Murici","AL",1,1,1,455.4,552.6,541.8,522,740
815343,"Capela","AL",2,1,1,467.2,518.8,535.8,580.6,860
2523510,"Ibateguara","AL",2,1,1,410.7,358,445,441.7,420
1247412,"Porto Real do Colégio","AL",2,1,1,432.3,420.8,369.4,407,240
1760226,"Maceió","AL",4,1,1,484.9,471.5,552.1,475.6,800
2057903,"Arapiraca","AL",1,1,1,501.6,533.2,467.3,434.4,660
2437674,"Ibateguara","AL",2,1,1,508.3,439.2,447.3,378.5,0
2069521,"Maceió","AL",2,1,1,425.3,490.8,471.2,462.9,560
1351341,"Boca da Mata","AL",2,1,1,,,,,
1245556,"Porto de Pedras","AL",2,1,1,415.4,538.2,357.4,589.2,880
715549,"Maceió","AL",4,1,1,472.6,669.6,607.4,644,900
1562886,"Matriz de Camaragibe","AL",2,1,1,,,,,
1662810,"Craíbas","AL",2,1,1,507.1,363.8,392.6,501.8,540
3731726,"Delmiro Gouveia","AL",4,1,1,,,,,
321570,"Campo Alegre","AL",2,1,1,535.2,467.6,522.6,595.3,700
541316,"Maceió","AL",2,1,1,367.1,404.2,365.7,438.9,540
2268132,"Maceió","AL",4,1,1,541.4,599.3,660.3,666.4,940
2298527,"Penedo","AL",1,1,1,596.8,321.7,568,631.5,600
3399918,"Pilar","AL",4,1,1,426.3,469.9,470.4,399.1,700
2386695,"Maceió","AL",2,1,1,419.7,394.9,363.8,380,340
1074026,"Porto Real do Colégio","AL",2,1,1,526.5,569.2,587.3,632.5,880
627652,"Cacimbinhas","AL",2,1,1,483.1,392.9,486,416.4,320
2141158,"Arapiraca","AL",2,1,1,563.3,579.2,585.8,603.6,920
