CIDADE,ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE),CRECHE,EJA,ENSINO FUNDAMENTAL,ENSINO Mï¿½DIO,ENSINO Mï¿½DIO INTEGRAL,INDï¿½GENA,MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL,MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - INDï¿½GENA,MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - QUILOMBOLA,PRï¿½-ESCOLA,QUILOMBOLA
AC-ACRELANDIA,4346.0,63986.0,9024.0,119752.0,0.0,0.0,0.0,0.0,0.0,0.0,47110.0,0.0
AC-ASSIS BRASIL,2459.2,8046.4,6195.2,62726.4,0.0,0.0,0.0,0.0,0.0,0.0,27984.0,0.0
AC-BRASILEIA,7738.0,75756.0,6720.0,156240.0,0.0,0.0,0.0,0.0,0.0,0.0,91266.0,0.0
AC-BUJARI,1696.0,46010.0,0.0,85968.0,0.0,0.0,0.0,0.0,0.0,0.0,27560.0,0.0
AC-CAPIXABA,3243.6,12519.0,22982.4,111607.2,0.0,0.0,0.0,0.0,0.0,0.0,35584.2,0.0
AC-CRUZEIRO DO SUL,40174.0,337906.0,4096.0,704930.0,0.0,0.0,0.0,19880.0,0.0,0.0,334112.0,0.0
AC-EPITACIOLANDIA,3604.0,53928.0,0.0,108288.0,0.0,0.0,0.0,0.0,0.0,0.0,50350.0,0.0
AC-FEIJO,4770.0,0.0,30272.0,291278.0,0.0,0.0,0.0,0.0,0.0,0.0,87132.0,0.0
AC-JORDAO,2014.0,46866.0,1344.0,90144.0,0.0,0.0,142688.0,0.0,0.0,0.0,25864.0,0.0
AC-MANCIO LIMA,7208.0,99082.0,7424.0,197034.0,0.0,0.0,9056.0,0.0,0.0,0.0,73458.0,0.0
AC-MANOEL URBANO,2226.0,28248.0,1856.0,100584.0,0.0,0.0,0.0,0.0,0.0,0.0,30634.0,0.0
AC-MARECHAL THAUMATURGO,5512.0,56068.0,15936.0,348294.0,0.0,0.0,96602.0,69523.2,0.0,0.0,68370.0,0.0
AC-PLACIDO DE CASTRO,3922.0,8774.0,9728.0,157870.0,0.0,0.0,0.0,16358.4,0.0,0.0,64130.0,0.0
AC-PORTO ACRE,1272.0,0.0,0.0,69062.4,0.0,0.0,0.0,0.0,0.0,0.0,47572.8,0.0
AC-PORTO WALTER,3180.0,18404.0,16256.0,156456.0,0.0,0.0,0.0,0.0,0.0,0.0,51092.0,0.0
AC-RIO BRANCO,216293.0,954440.0,1264674.0,3921136.4,1579278.6,1399956.0,779398.0,0.0,0.0,0.0,543091.0,0.0
AC-RODRIGUES ALVES,4293.0,110745.0,56620.8,124738.2,0.0,0.0,0.0,16585.6,0.0,0.0,62773.2,0.0
AC-SANTA ROSA DO PURUS,1378.0,17548.0,8768.0,62630.0,0.0,0.0,142976.0,0.0,0.0,0.0,19292.0,0.0
AC-SENA MADUREIRA,8162.0,66982.0,3648.0,472166.0,0.0,0.0,0.0,0.0,0.0,0.0,100806.0,0.0
AC-SENADOR GUIOMARD,6360.0,49862.0,16832.0,234032.0,0.0,0.0,0.0,0.0,0.0,0.0,81832.0,0.0
AC-TARAUACA,7738.0,61632.0,41856.0,673822.0,0.0,0.0,0.0,0.0,0.0,0.0,142040.0,0.0
AC-XAPURI,954.0,43014.0,4224.0,30376.0,0.0,0.0,0.0,0.0,0.0,0.0,44202.0,0.0
AL-AGUA BRANCA,16006.0,27392.0,28224.0,210888.0,0.0,0.0,0.0,46576.0,0.0,0.0,44096.0,132864.0
AL-ANADIA,0.0,19046.0,14656.0,309166.0,0.0,0.0,0.0,78270.4,0.0,0.0,55748.0,0.0
AL-ARAPIRACA,43566.0,416872.0,150208.0,2563780.0,0.0,0.0,0.0,95310.4,0.0,0.0,403118.0,130360.0
AL-ATALAIA,20670.0,128614.0,115264.0,591124.0,0.0,0.0,0.0,174148.8,0.0,19264.0,123510.0,95104.0
AL-BARRA DE SANTO ANTONIO,3243.6,52579.8,26766.0,221562.0,0.0,0.0,0.0,5964.0,0.0,0.0,86284.8,0.0
AL-BARRA DE SAO MIGUEL,6487.2,35631.0,8697.6,101502.0,0.0,0.0,0.0,13632.0,0.0,0.0,20431.8,0.0
AL-BATALHA,1590.0,85172.0,93888.0,206502.0,0.0,0.0,0.0,12496.0,0.0,0.0,41764.0,20916.0
AL-BELEM,2968.0,41730.0,39936.0,52632.0,0.0,0.0,0.0,55664.0,0.0,0.0,31086.0,5504.0
AL-BELO MONTE,0.0,52430.0,11008.0,81648.0,0.0,0.0,0.0,17494.4,0.0,0.0,21836.0,0.0
AL-BOCA DA MATA,7208.0,88168.0,35584.0,253872.0,4752.0,0.0,0.0,38624.0,0.0,0.0,64554.0,0.0
AL-BRANQUINHA,3307.2,66425.6,12595.2,161747.2,0.0,0.0,0.0,4771.2,0.0,0.0,36417.6,0.0
AL-CACIMBINHAS,2544.0,54142.0,11712.0,209326.0,0.0,0.0,0.0,111100.8,0.0,0.0,33004.0,21120.0
AL-CAJUEIRO,0.0,132038.0,28672.0,721366.0,0.0,0.0,0.0,0.0,0.0,0.0,68424.0,0.0
AL-CAMPESTRE,0.0,25252.0,27584.0,88442.0,0.0,0.0,0.0,34080.0,0.0,0.0,20458.0,0.0
AL-CAMPO ALEGRE,10918.0,228980.0,76864.0,916334.0,0.0,0.0,0.0,0.0,0.0,0.0,204584.0,0.0
AL-CAMPO GRANDE,0.0,10058.0,86572.0,133920.0,0.0,0.0,0.0,40328.0,0.0,0.0,31800.0,0.0
AL-CANAPI,3286.0,108498.0,88064.0,302948.0,0.0,0.0,0.0,9088.0,0.0,0.0,58300.0,37504.0
AL-CAPELA,3816.0,71904.0,78720.0,490044.0,0.0,0.0,0.0,39192.0,0.0,0.0,76040.0,0.0
AL-CARNEIROS,2862.0,35310.0,18048.0,139304.0,0.0,0.0,0.0,48620.8,0.0,0.0,28302.0,13568.0
AL-CHA PRETA,0.0,11384.8,4300.8,107321.2,0.0,0.0,0.0,9017.0,0.0,0.0,18417.0,0.0
AL-COITE DO NOIA,0.0,24182.0,24000.0,124918.0,0.0,0.0,0.0,0.0,0.0,0.0,44202.0,0.0
AL-COLONIA LEOPOLDINA,2014.0,21400.0,34048.0,239398.0,0.0,0.0,0.0,22720.0,0.0,0.0,55634.0,0.0
AL-COQUEIRO SECO,1696.0,13910.0,8192.0,139746.0,0.0,0.0,0.0,26355.2,0.0,0.0,22196.0,0.0
AL-CORURIPE,17914.0,362944.0,91520.0,843128.0,0.0,0.0,0.0,0.0,0.0,0.0,187302.0,0.0
AL-CRAIBAS,4876.0,90522.0,68928.0,500088.0,0.0,0.0,0.0,79065.6,0.0,0.0,69642.0,0.0
AL-DELMIRO GOUVEIA,43884.0,53500.0,45440.0,526102.0,0.0,0.0,0.0,464624.0,0.0,0.0,136634.0,11866.0
AL-DOIS RIACHOS,0.0,26536.0,101504.0,144840.0,0.0,0.0,0.0,40328.0,0.0,0.0,27150.0,0.0
AL-ESTRELA DE ALAGOAS,0.0,72760.0,49600.0,252918.0,0.0,0.0,0.0,67819.2,0.0,0.0,53628.0,0.0
AL-FEIRA GRANDE,5830.0,43656.0,100544.0,249980.0,0.0,0.0,0.0,70545.6,0.0,0.0,57664.0,0.0
AL-FELIZ DESERTO,0.0,28034.0,5056.0,70356.0,0.0,0.0,0.0,0.0,0.0,0.0,14946.0,0.0
AL-FLEXEIRAS,3074.0,43442.0,43712.0,212300.0,0.0,0.0,0.0,2130.0,0.0,0.0,40068.0,0.0
AL-GIRAU DO PONCIANO,3286.0,35738.0,369564.0,438840.0,0.0,0.0,0.0,174489.6,0.0,0.0,149454.0,0.0
AL-IBATEGUARA,954.0,38520.0,21942.0,203780.0,0.0,0.0,0.0,31808.0,0.0,0.0,43354.0,0.0
AL-IGACI,2226.0,26750.0,9280.0,362088.0,0.0,0.0,0.0,76339.2,0.0,5504.0,66144.0,21376.0
AL-IGREJA NOVA,530.0,46010.0,27456.0,380506.0,0.0,0.0,0.0,22720.0,0.0,0.0,69006.0,44180.0
AL-INHAPI,2289.6,11170.8,5702.4,208809.0,0.0,0.0,0.0,0.0,0.0,0.0,49512.6,0.0
AL-JACARE DOS HOMENS,3180.0,16692.0,19456.0,90364.0,0.0,0.0,0.0,29081.6,0.0,0.0,16536.0,81584.0
AL-JACUIPE,0.0,76826.0,44672.0,76392.0,0.0,0.0,0.0,0.0,0.0,0.0,20988.0,0.0
AL-JAPARATINGA,0.0,8774.0,12507.0,30996.0,0.0,0.0,0.0,98036.8,0.0,0.0,27136.0,0.0
AL-JARAMATAIA,0.0,37942.2,12499.2,122979.6,0.0,0.0,0.0,12425.0,0.0,0.0,20797.2,0.0
AL-JEQUIA DA PRAIA,5936.0,68694.0,29946.0,232244.0,0.0,0.0,0.0,0.0,0.0,0.0,39538.0,0.0
AL-JOAQUIM GOMES,2194.2,11748.6,7852.8,77328.0,0.0,0.0,0.0,4260.0,0.0,0.0,19588.8,0.0
AL-JUNDIA,636.0,34454.0,17600.0,104330.0,0.0,0.0,0.0,45440.0,0.0,0.0,30918.0,0.0
AL-JUNQUEIRO,16218.0,115988.0,41472.0,445804.0,0.0,0.0,0.0,0.0,0.0,0.0,82470.0,0.0
AL-LAGOA DA CANOA,5194.0,33170.0,52736.0,371614.0,0.0,0.0,0.0,40214.4,0.0,0.0,50456.0,0.0
AL-LIMOEIRO DE ANADIA,4664.0,121338.0,50112.0,820596.0,0.0,0.0,0.0,0.0,0.0,0.0,100822.0,0.0
AL-MACEIO,146152.8,545700.0,1058051.6,3076081.325,6152755.2,1562732.8,270832.0,211068.8,19805.8,0.0,614348.0,19124.8
AL-MAJOR ISIDORO,11342.0,62916.0,69966.0,362954.0,0.0,0.0,0.0,11360.0,0.0,0.0,65002.0,0.0
AL-MAR VERMELHO,0.0,13054.0,4992.0,41256.0,0.0,0.0,0.0,0.0,0.0,0.0,9434.0,0.0
AL-MARAGOGI,4134.0,43870.0,45376.0,339552.0,0.0,0.0,0.0,97128.0,0.0,0.0,74730.0,0.0
AL-MARAVILHA,2120.0,35524.0,108480.0,127512.0,0.0,0.0,0.0,76112.0,0.0,0.0,28832.0,0.0
AL-MARECHAL DEODORO,8374.0,74900.0,71808.0,771270.0,0.0,0.0,0.0,106670.4,0.0,0.0,135938.0,0.0
AL-MARIBONDO,0.0,25680.0,14400.0,145996.0,0.0,0.0,0.0,27945.6,0.0,0.0,38398.0,0.0
AL-MATA GRANDE,0.0,26771.4,83980.8,243972.0,0.0,0.0,0.0,0.0,0.0,0.0,62200.8,0.0
AL-MATRIZ DE CAMARAGIBE,6360.0,53714.0,38592.0,336342.0,0.0,0.0,0.0,33625.6,0.0,0.0,69324.0,0.0
AL-MESSIAS,2544.0,54356.0,33664.0,217438.0,0.0,0.0,0.0,0.0,0.0,0.0,52364.0,0.0
AL-MINADOR DO NEGRAO,1272.0,35738.0,46236.0,160402.0,0.0,0.0,0.0,21470.4,0.0,0.0,31530.0,0.0
AL-MONTEIROPOLIS,0.0,16906.0,16832.0,103200.0,0.0,0.0,0.0,0.0,0.0,0.0,22684.0,0.0
AL-MURICI,5342.4,86670.0,41356.8,449533.8,0.0,0.0,0.0,0.0,0.0,0.0,89917.2,0.0
AL-NOVO LINO,0.0,55212.0,45312.0,135288.0,0.0,0.0,0.0,94969.6,0.0,0.0,32860.0,0.0
AL-OLHO DAGUA DAS FLORES,5406.0,60348.0,12160.0,272154.0,0.0,0.0,0.0,37488.0,0.0,0.0,52470.0,0.0
AL-OLHO DAGUA DO CASADO,1356.8,0.0,8550.4,101430.4,0.0,0.0,0.0,49330.8,0.0,0.0,25185.6,0.0
AL-OLHO DAGUA GRANDE,0.0,7062.0,25856.0,82871.0,0.0,0.0,0.0,92243.2,0.0,0.0,18868.0,0.0
AL-OLIVENCA,5088.0,41088.0,27776.0,251831.0,0.0,0.0,0.0,36124.8,0.0,0.0,37100.0,0.0
AL-OURO BRANCO,5512.0,40660.0,26880.0,229280.0,0.0,0.0,0.0,0.0,0.0,0.0,34662.0,0.0
AL-PALESTINA,1272.0,25680.0,4032.0,115464.0,0.0,0.0,0.0,0.0,0.0,6880.0,14204.0,62658.0
AL-PALMEIRA DOS INDIOS,31058.0,284620.0,236884.0,819764.0,0.0,0.0,0.0,117803.2,0.0,0.0,195496.0,0.0
AL-PAO DE ACUCAR,2650.0,57138.0,31608.0,509438.0,5832.0,0.0,0.0,24537.6,0.0,0.0,96950.0,14376.0
AL-PARICONHA,7420.0,16264.0,4352.0,21060.0,0.0,0.0,180480.0,0.0,0.0,0.0,17172.0,31744.0
AL-PARIPUEIRA,2438.0,22470.0,25113.6,199880.0,0.0,0.0,0.0,22720.0,0.0,0.0,34912.0,0.0
AL-PASSO DE CAMARAGIBE,2289.6,46994.4,19411.2,339624.0,0.0,0.0,0.0,41236.8,0.0,15050.0,41117.4,51391.8
AL-PAULO JACINTO,1166.0,35096.0,7872.0,116312.0,0.0,0.0,0.0,30672.0,0.0,0.0,24198.0,0.0
AL-PENEDO,318.0,63772.0,10048.0,649644.0,0.0,0.0,0.0,81224.0,0.0,12384.0,139392.0,105786.0
AL-PIACABUCU,5088.0,23112.0,22810.0,372608.0,0.0,0.0,0.0,44076.8,0.0,0.0,51410.0,0.0
AL-PILAR,7738.0,108284.0,44352.0,328160.0,0.0,0.0,0.0,42145.6,0.0,0.0,79294.0,0.0
AL-PINDOBA,0.0,14552.0,2880.0,29232.0,0.0,0.0,0.0,0.0,0.0,0.0,8374.0,0.0
AL-PIRANHAS,11872.0,62274.0,15232.0,323536.0,0.0,0.0,0.0,22720.0,0.0,0.0,78864.0,37248.0
AL-POCO DAS TRINCHEIRAS,3922.0,46866.0,8512.0,271978.0,0.0,0.0,0.0,0.0,0.0,0.0,43142.0,57118.0
AL-PORTO CALVO,6360.0,54570.0,40000.0,458992.0,0.0,0.0,0.0,48166.4,0.0,0.0,80774.0,0.0
AL-PORTO DE PEDRAS,0.0,53714.0,45504.0,159584.0,0.0,0.0,0.0,0.0,0.0,0.0,40386.0,0.0
AL-PORTO REAL DO COLEGIO,0.0,37450.0,27692.0,182232.0,0.0,0.0,0.0,183691.2,0.0,0.0,47700.0,0.0
AL-QUEBRANGULO,3286.0,87526.0,38976.0,257020.0,0.0,0.0,0.0,0.0,0.0,0.0,54470.0,0.0
AL-RIO LARGO,848.0,17462.4,80793.6,285643.2,0.0,0.0,0.0,40640.4,0.0,0.0,137630.4,0.0
AL-ROTEIRO,2544.0,55982.4,23873.6,113304.0,0.0,0.0,0.0,17040.0,0.0,0.0,19673.6,0.0
AL-SANTA LUZIA DO NORTE,2957.4,23304.6,9504.0,80978.4,0.0,0.0,0.0,60236.4,0.0,3070.2,15931.8,8755.2
AL-SANTANA DO IPANEMA,10589.4,39675.6,19872.0,421052.4,0.0,0.0,0.0,100394.0,0.0,0.0,91679.4,1267.2
AL-SANTANA DO MUNDAU,0.0,54570.0,10112.0,218478.0,0.0,0.0,0.0,62480.0,0.0,0.0,28408.0,11998.0
AL-SAO BRAS,0.0,13054.0,11584.0,82800.0,0.0,0.0,0.0,9656.0,0.0,0.0,18126.0,0.0
AL-SAO JOSE DA LAJE,5300.0,96086.0,15296.0,293824.0,0.0,0.0,0.0,0.0,0.0,0.0,50350.0,0.0
AL-SAO JOSE DA TAPERA,17066.0,150870.0,15936.0,450528.0,0.0,0.0,0.0,88153.6,0.0,6192.0,101136.0,75850.0
AL-SAO LUIS DO QUITUNDE,13568.0,0.0,72128.0,383976.0,0.0,0.0,0.0,67024.0,0.0,0.0,95930.0,0.0
AL-SAO MIGUEL DOS CAMPOS,19504.0,212074.0,89920.0,513482.0,0.0,0.0,0.0,63161.6,0.0,0.0,110480.0,0.0
AL-SAO MIGUEL DOS MILAGRES,0.0,57138.0,34816.0,108792.0,0.0,0.0,0.0,34080.0,0.0,0.0,21518.0,0.0
AL-SAO SEBASTIAO,20458.0,9844.0,15936.0,429984.0,0.0,0.0,0.0,100763.2,0.0,0.0,99534.0,0.0
AL-SATUBA,4558.0,28248.0,21760.0,185724.0,0.0,0.0,0.0,0.0,0.0,0.0,34344.0,0.0
AL-SENADOR RUI PALMEIRA,3922.0,37022.0,25216.0,222540.0,0.0,0.0,0.0,29536.0,0.0,0.0,45686.0,6614.0
AL-TANQUE DARCA,0.0,35524.0,15232.0,97312.0,0.0,0.0,0.0,5793.6,0.0,0.0,16642.0,0.0
AL-TAQUARANA,15158.0,98440.0,80640.0,401335.0,0.0,0.0,0.0,20220.8,0.0,0.0,61798.0,26250.0
AL-TEOTONIO VILELA,29574.0,277130.0,279296.0,1215208.0,0.0,0.0,0.0,0.0,0.0,0.0,190514.0,4096.0
AL-TRAIPU,0.0,127758.0,24064.0,239614.0,0.0,0.0,0.0,97128.0,0.0,22704.0,55120.0,116816.0
AL-UNIAO DOS PALMARES,43990.0,200304.0,115200.0,824612.0,0.0,0.0,0.0,82928.0,0.0,5504.0,184692.0,46486.0
AL-VICOSA,5512.0,63344.0,45570.0,411532.0,0.0,0.0,0.0,65206.4,0.0,0.0,83440.0,0.0
AM-ALVARAES,0.0,15750.4,12672.0,65520.0,0.0,0.0,45700.8,0.0,0.0,0.0,24337.6,0.0
AM-AMATURA,954.0,22898.0,0.0,70776.0,0.0,0.0,140928.0,0.0,0.0,0.0,28620.0,0.0
AM-ANAMA,0.0,13696.0,0.0,91080.0,0.0,0.0,17664.0,0.0,0.0,0.0,32860.0,0.0
AM-ANORI,0.0,0.0,6656.0,112488.0,0.0,0.0,0.0,0.0,0.0,0.0,37905.6,0.0
AM-APUI,0.0,55854.0,4288.0,105774.0,0.0,0.0,0.0,0.0,0.0,0.0,34026.0,0.0
AM-ATALAIA DO NORTE,445.2,12840.0,18048.0,42117.6,0.0,0.0,173030.4,0.0,0.0,0.0,25058.4,0.0
AM-AUTAZES,0.0,61632.0,12992.0,334122.0,0.0,0.0,206336.0,93038.4,16512.0,0.0,124762.0,0.0
AM-BARCELOS,0.0,74044.0,2752.0,123418.0,0.0,0.0,66560.0,0.0,0.0,0.0,63388.0,0.0
AM-BARREIRINHA,3074.0,94802.0,20224.0,346094.0,0.0,0.0,314612.0,65888.0,5916.8,0.0,120522.0,61290.0
AM-BENJAMIN CONSTANT,0.0,28248.0,17346.0,339852.0,0.0,0.0,485978.0,31240.0,0.0,0.0,108332.0,0.0
AM-BERURI,0.0,0.0,30980.0,297288.0,0.0,0.0,62976.0,0.0,0.0,0.0,58406.0,0.0
AM-BOA VISTA DO RAMOS,0.0,51574.0,24192.0,201956.0,0.0,0.0,0.0,0.0,0.0,0.0,76532.0,0.0
AM-BOCA DO ACRE,0.0,0.0,6144.0,290146.0,0.0,0.0,33152.0,0.0,0.0,0.0,76320.0,0.0
AM-BORBA,2968.0,84637.0,35750.4,227988.6,18335.8,0.0,194170.2,26738.6,0.0,0.0,82287.8,0.0
AM-CAAPIRANGA,1484.0,53714.0,15168.0,150590.0,0.0,0.0,0.0,54073.6,0.0,0.0,41234.0,0.0
AM-CANUTAMA,0.0,17334.0,7936.0,118584.0,0.0,0.0,4352.0,0.0,0.0,0.0,30316.0,0.0
AM-CARAUARI,8586.0,39162.0,24128.0,492118.0,0.0,0.0,16640.0,7881.0,0.0,0.0,109604.0,0.0
AM-CAREIRO,1590.0,39590.0,1920.0,813298.0,0.0,0.0,7424.0,73044.8,0.0,0.0,119992.0,0.0
AM-CAREIRO DA VARZEA,954.0,19902.0,10304.0,254940.0,0.0,0.0,17792.0,68614.4,0.0,0.0,57982.0,0.0
AM-COARI,5830.0,65484.0,23168.0,697586.0,0.0,0.0,81280.0,36920.0,0.0,0.0,213100.0,0.0
AM-CODAJAS,2650.0,43870.0,3456.0,186108.0,0.0,0.0,0.0,0.0,0.0,0.0,74942.0,0.0
AM-EIRUNEPE,0.0,54441.6,12019.2,156124.8,0.0,0.0,61118.4,0.0,0.0,0.0,79627.2,0.0
AM-ENVIRA,0.0,35738.0,20928.0,142920.0,0.0,0.0,52864.0,0.0,0.0,0.0,48230.0,0.0
AM-FONTE BOA,0.0,37022.0,21696.0,291024.0,0.0,0.0,112372.0,133366.4,0.0,0.0,94446.0,0.0
AM-GUAJARA,2098.8,41409.0,0.0,111132.0,0.0,0.0,0.0,0.0,0.0,0.0,49035.6,0.0
AM-HUMAITA,7314.0,92234.0,26176.0,507338.0,0.0,0.0,47020.0,170627.2,0.0,0.0,144076.0,0.0
AM-IPIXUNA,0.0,19046.0,6784.0,153030.0,0.0,0.0,34560.0,0.0,0.0,0.0,51318.0,0.0
AM-IRANDUBA,0.0,75114.0,99776.0,664410.0,0.0,0.0,3414.0,93492.8,0.0,0.0,203096.0,0.0
AM-ITACOATIARA,4876.0,115774.0,113728.0,1720412.0,0.0,0.0,39936.0,73272.0,0.0,0.0,324890.0,6528.0
AM-ITAMARATI,0.0,51788.0,4928.0,102816.0,0.0,0.0,85248.0,21129.6,0.0,0.0,36252.0,0.0
AM-ITAPIRANGA,0.0,31757.6,8108.8,59560.2,0.0,0.0,0.0,30672.0,0.0,0.0,26786.2,0.0
AM-JAPURA,0.0,71454.6,27705.6,156247.2,0.0,0.0,102391.2,0.0,0.0,0.0,29098.8,0.0
AM-JURUA,2756.0,82390.0,21376.0,122260.0,0.0,0.0,59982.0,43054.4,0.0,0.0,37206.0,0.0
AM-JUTAI,0.0,0.0,26841.6,231195.6,0.0,0.0,238003.2,98306.6,0.0,0.0,77274.0,0.0
AM-LABREA,7632.0,58850.0,26950.0,382674.0,0.0,0.0,160768.0,22720.0,0.0,0.0,87878.0,0.0
AM-MANACAPURU,5194.0,83460.0,45810.0,1813554.0,0.0,0.0,8576.0,147793.6,0.0,0.0,302842.0,0.0
AM-MANAQUIRI,5406.0,0.0,13017.6,525068.0,0.0,0.0,41088.0,9428.8,0.0,0.0,76466.0,0.0
AM-MANAUS,100753.0,453466.0,1701718.0,19668507.0,7674604.0,1764686.0,790988.0,100479.2,4678.4,0.0,2384585.0,0.0
AM-MANICORE,5088.0,81962.0,17600.0,442656.0,0.0,0.0,110080.0,70204.8,0.0,0.0,165148.0,0.0
AM-MARAA,5194.0,98654.0,27392.0,312773.0,0.0,0.0,124274.0,43622.4,9425.6,0.0,66358.0,0.0
AM-MAUES,7102.0,75756.0,11712.0,613836.0,0.0,0.0,213248.0,82928.0,0.0,0.0,172568.0,0.0
AM-NHAMUNDA,0.0,49434.0,704.0,238062.0,0.0,0.0,24838.0,0.0,0.0,0.0,66250.0,0.0
AM-NOVA OLINDA DO NORTE,10981.6,57523.2,13798.4,228023.6,0.0,0.0,4480.0,0.0,0.0,0.0,72272.2,0.0
AM-NOVO AIRAO,0.0,13482.0,25088.0,149184.0,0.0,0.0,7936.0,0.0,0.0,0.0,54908.0,8576.0
AM-NOVO ARIPUANA,1696.0,60348.0,6528.0,160998.0,0.0,0.0,7808.0,0.0,0.0,0.0,68698.0,0.0
AM-PARINTINS,18338.0,238610.0,40896.0,1841594.0,0.0,0.0,51712.0,101785.6,0.0,0.0,385828.0,0.0
AM-PAUINI,0.0,27178.0,11264.0,130534.0,0.0,0.0,119784.0,0.0,0.0,0.0,44096.0,0.0
AM-PRESIDENTE FIGUEIREDO,0.0,98119.0,40812.8,515328.8,0.0,0.0,0.0,55380.0,0.0,0.0,84291.2,0.0
AM-RIO PRETO DA EVA,0.0,75542.0,47424.0,298168.0,0.0,0.0,5506.0,56118.4,0.0,0.0,75896.0,0.0
AM-SANTA ISABEL DO RIO NEGRO,0.0,22470.0,11264.0,68256.0,0.0,0.0,79488.0,0.0,0.0,0.0,35722.0,0.0
AM-SANTO ANTONIO DO ICA,0.0,102720.0,11008.0,159696.0,0.0,0.0,313784.0,0.0,0.0,0.0,80878.0,0.0
AM-SAO GABRIEL DA CACHOEIRA,3392.0,0.0,0.0,0.0,0.0,0.0,1256432.0,0.0,0.0,0.0,0.0,0.0
AM-SAO PAULO DE OLIVENCA,0.0,32314.0,10816.0,47952.0,0.0,0.0,841644.0,0.0,0.0,0.0,53000.0,0.0
AM-SAO SEBASTIAO DO UATUMA,0.0,0.0,0.0,88312.0,0.0,0.0,0.0,0.0,0.0,0.0,31058.0,0.0
AM-SILVES,0.0,8988.0,0.0,89913.6,0.0,0.0,0.0,0.0,0.0,0.0,32425.4,0.0
AM-TABATINGA,9063.0,62402.4,43718.4,340524.0,0.0,0.0,615168.0,0.0,0.0,0.0,155597.4,0.0
AM-TAPAUA,0.0,36808.0,19904.0,138024.0,0.0,0.0,120762.0,27391.8,0.0,0.0,68052.0,0.0
AM-TEFE,23563.8,130390.2,103564.8,569331.0,0.0,0.0,126190.8,210330.4,0.0,0.0,217607.4,0.0
AM-TONANTINS,0.0,60990.0,39552.0,151344.0,0.0,0.0,140070.0,79065.6,0.0,0.0,57664.0,0.0
AM-UARINI,0.0,27820.0,20160.0,155592.0,0.0,0.0,40884.0,0.0,0.0,0.0,59890.0,0.0
AM-URUCARA,1378.0,40018.0,12736.0,168442.0,0.0,0.0,6316.0,0.0,0.0,0.0,55014.0,0.0
AM-URUCURITUBA,0.0,58357.8,13766.4,117482.4,0.0,0.0,0.0,0.0,0.0,0.0,55427.4,0.0
AP-AMAPA,371.0,10486.0,1056.0,26928.0,0.0,0.0,0.0,18232.8,0.0,0.0,16112.0,0.0
AP-CALCOENE,0.0,43228.0,2112.0,125830.0,0.0,0.0,0.0,0.0,0.0,0.0,44944.0,0.0
AP-CUTIAS,424.0,17548.0,2368.0,29448.0,0.0,0.0,0.0,0.0,0.0,0.0,22154.0,0.0
AP-FERREIRA GOMES,2756.0,20116.0,9408.0,82872.0,0.0,0.0,0.0,0.0,0.0,0.0,34132.0,0.0
AP-LARANJAL DO JARI,10112.4,64521.0,36198.0,407158.2,0.0,0.0,0.0,75316.8,0.0,0.0,109260.0,0.0
AP-MACAPA,32515.5,18725.0,136988.5,1019720.0,134607.4,78453.4,62239.8,421115.2,0.0,0.0,387970.1,74073.5
AP-MAZAGAO,1335.6,85129.2,2361.6,94284.0,5832.0,0.0,0.0,11132.8,0.0,0.0,79563.6,11331.0
AP-OIAPOQUE,6678.0,65912.0,20352.0,170712.0,0.0,0.0,53860.0,0.0,0.0,0.0,65932.0,0.0
AP-PEDRA BRANCA DO AMAPARI,1081.2,0.0,3072.0,52568.4,2696.4,0.0,0.0,0.0,0.0,0.0,27538.8,0.0
AP-PORTO GRANDE,3922.0,21400.0,15552.0,178200.0,0.0,0.0,0.0,0.0,0.0,0.0,76002.0,0.0
AP-PRACUUBA,0.0,0.0,0.0,39816.0,0.0,0.0,0.0,0.0,0.0,0.0,18020.0,0.0
AP-SANTANA,15772.8,46224.0,23514.0,328873.4,0.0,0.0,0.0,44304.0,0.0,0.0,202566.0,17203.2
AP-TARTARUGALZINHO,2332.0,26750.0,1920.0,107946.0,5136.0,0.0,0.0,0.0,0.0,0.0,55226.0,0.0
AP-VITORIA DO JARI,6572.0,49006.0,8512.0,256480.0,0.0,0.0,0.0,39760.0,0.0,0.0,53212.0,3200.0
BA-ABAIRA,0.0,0.0,1152.0,61416.0,0.0,0.0,0.0,0.0,0.0,0.0,15582.0,0.0
BA-ABARE,0.0,56496.0,9024.0,185691.0,0.0,0.0,44160.0,0.0,0.0,0.0,59466.0,0.0
BA-ACAJUTIBA,1802.0,35952.0,15168.0,307608.0,0.0,0.0,0.0,18744.0,0.0,0.0,49394.0,3210.0
BA-ADUSTINA,0.0,23540.0,10944.0,218026.0,15192.0,0.0,0.0,5325.0,0.0,0.0,36464.0,0.0
BA-AGUA FRIA,360.4,49648.0,17088.0,419702.0,0.0,0.0,0.0,34420.8,0.0,0.0,38054.0,22932.0
BA-AIQUARA,0.0,21400.0,6208.0,46512.0,0.0,0.0,0.0,22152.0,0.0,0.0,10706.0,0.0
