CIDADE,ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE),CRECHE,EJA,ENSINO FUNDAMENTAL,ENSINO Mï¿½DIO,ENSINO Mï¿½DIO INTEGRAL,INDï¿½GENA,MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL,MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - INDï¿½GENA,MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - QUILOMBOLA,PRï¿½-ESCOLA,QUILOMBOLA
MG-BIAS FORTES,0.0,0.0,0.0,10368.0,0.0,0.0,0.0,0.0,0.0,0.0,5724.0,7552.0
MG-BICAS,2968.0,31672.0,7552.0,95266.0,0.0,0.0,0.0,0.0,0.0,0.0,31128.0,0.0
MG-BIQUINHAS,0.0,7704.0,0.0,15392.0,0.0,0.0,0.0,0.0,0.0,0.0,5322.0,0.0
MG-BOA ESPERANCA,3922.0,163068.0,7834.0,159010.0,0.0,0.0,0.0,0.0,0.0,0.0,101526.0,0.0
MG-BOCAINA DE MINAS,424.0,0.0,1216.0,27348.0,0.0,0.0,0.0,0.0,0.0,0.0,8586.0,0.0
MG-BOCAIUVA,1272.0,184040.0,7040.0,151456.0,0.0,0.0,0.0,0.0,0.0,0.0,141460.0,0.0
MG-BOM DESPACHO,2968.0,206724.0,5248.0,139396.0,0.0,0.0,0.0,0.0,0.0,0.0,176242.0,0.0
MG-BOM JARDIM DE MINAS,0.0,8346.0,0.0,34704.0,9504.0,0.0,0.0,0.0,0.0,0.0,17490.0,0.0
MG-BOM JESUS DA PENHA,0.0,23112.0,0.0,19656.0,0.0,0.0,0.0,0.0,0.0,0.0,20696.0,0.0
MG-BOM JESUS DO AMPARO,318.0,11128.0,0.0,26040.0,0.0,0.0,0.0,0.0,0.0,0.0,14550.0,11288.0
MG-BOM JESUS DO GALHO,0.0,0.0,0.0,50328.0,0.0,0.0,0.0,0.0,0.0,0.0,36994.0,0.0
MG-BOM REPOUSO,0.0,41516.0,2816.0,56250.0,0.0,0.0,0.0,0.0,0.0,0.0,32130.0,0.0
MG-BOM SUCESSO,3498.0,34668.0,1728.0,102276.0,0.0,0.0,0.0,0.0,0.0,0.0,35450.0,0.0
MG-BONFIM,0.0,4280.0,0.0,29990.0,0.0,0.0,0.0,0.0,0.0,0.0,12948.0,0.0
MG-BONFINOPOLIS DE MINAS,0.0,24396.0,2240.0,40032.0,0.0,0.0,0.0,0.0,0.0,0.0,14840.0,0.0
MG-BONITO DE MINAS,212.0,18832.0,0.0,47736.0,0.0,0.0,0.0,0.0,0.0,0.0,12402.0,4352.0
MG-BORDA DA MATA,4876.0,52430.0,1600.0,92952.0,0.0,0.0,0.0,0.0,0.0,0.0,34874.0,0.0
MG-BOTELHOS,0.0,35823.6,0.0,55657.8,0.0,0.0,0.0,0.0,0.0,0.0,42345.0,0.0
MG-BOTUMIRIM,0.0,11984.0,0.0,14328.0,0.0,0.0,0.0,0.0,0.0,0.0,19504.0,0.0
MG-BRAS PIRES,0.0,15622.0,0.0,15624.0,0.0,0.0,0.0,0.0,0.0,0.0,8904.0,0.0
MG-BRASILANDIA DE MINAS,1484.0,29746.0,2880.0,107728.0,0.0,0.0,0.0,0.0,0.0,0.0,50032.0,0.0
MG-BRASILIA DE MINAS,2226.0,75328.0,0.0,47232.0,0.0,0.0,0.0,0.0,0.0,0.0,93628.0,20992.0
MG-BRASOPOLIS,2014.0,20116.0,2240.0,65424.0,0.0,0.0,0.0,0.0,0.0,0.0,34614.0,0.0
MG-BRAUNAS,0.0,0.0,320.0,21672.0,0.0,0.0,0.0,0.0,0.0,0.0,11978.0,0.0
MG-BRUMADINHO,318.0,138030.0,17600.0,353834.0,0.0,0.0,0.0,0.0,0.0,0.0,96546.0,20920.0
MG-BUENO BRANDAO,0.0,0.0,2624.0,43128.0,0.0,0.0,0.0,0.0,0.0,0.0,20034.0,0.0
MG-BUENOPOLIS,2756.0,22684.0,1024.0,41760.0,0.0,0.0,0.0,0.0,0.0,0.0,25652.0,0.0
MG-BUGRE,0.0,0.0,0.0,13003.2,0.0,0.0,0.0,0.0,0.0,0.0,5565.0,0.0
MG-BURITIS,0.0,71048.0,3520.0,220461.0,0.0,0.0,0.0,0.0,0.0,0.0,53106.0,0.0
MG-BURITIZEIRO,0.0,51788.0,8384.0,80424.0,0.0,0.0,0.0,0.0,0.0,0.0,65020.0,0.0
MG-CABECEIRA GRANDE,1378.0,37022.0,0.0,66024.0,0.0,0.0,0.0,0.0,0.0,0.0,23956.0,0.0
MG-CABO VERDE,0.0,32742.0,1984.0,59822.0,0.0,0.0,0.0,0.0,0.0,0.0,30594.0,0.0
MG-CACHOEIRA DA PRATA,0.0,12454.8,0.0,18403.2,0.0,0.0,0.0,0.0,0.0,0.0,4515.6,0.0
MG-CACHOEIRA DE MINAS,1484.0,41088.0,1600.0,57600.0,0.0,0.0,0.0,0.0,0.0,0.0,31650.0,0.0
MG-CACHOEIRA DE PAJEU,0.0,642.0,512.0,80810.0,0.0,0.0,0.0,0.0,0.0,0.0,20458.0,0.0
MG-CACHOEIRA DOURADA,1166.0,16478.0,1984.0,23904.0,0.0,0.0,0.0,0.0,0.0,0.0,8082.0,0.0
MG-CAETANOPOLIS,0.0,12840.0,0.0,68318.0,3672.0,0.0,0.0,0.0,0.0,0.0,28408.0,0.0
MG-CAETE,0.0,57780.0,6272.0,320760.0,0.0,0.0,0.0,0.0,0.0,0.0,105576.0,0.0
MG-CAIANA,1696.0,8774.0,2752.0,25416.0,0.0,0.0,0.0,0.0,0.0,0.0,9752.0,0.0
MG-CAJURI,0.0,8774.0,0.0,46462.0,0.0,0.0,0.0,0.0,0.0,0.0,8904.0,0.0
MG-CALDAS,954.0,33384.0,0.0,57456.0,5976.0,0.0,0.0,0.0,0.0,0.0,28090.0,0.0
MG-CAMACHO,0.0,7276.0,0.0,11952.0,0.0,0.0,0.0,0.0,0.0,0.0,6042.0,0.0
MG-CAMANDUCAIA,0.0,117914.0,11328.0,167504.0,0.0,0.0,0.0,0.0,0.0,0.0,86166.0,0.0
MG-CAMBUI,106.0,98654.0,1494.0,120274.0,0.0,0.0,0.0,0.0,0.0,0.0,74346.0,0.0
MG-CAMBUQUIRA,3498.0,59706.0,1600.0,59272.0,0.0,0.0,0.0,0.0,0.0,0.0,41278.0,0.0
MG-CAMPANARIO,667.8,13032.6,761.6,12700.8,0.0,0.0,0.0,0.0,0.0,0.0,6603.8,0.0
MG-CAMPANHA,1484.0,62060.0,3456.0,53716.0,0.0,0.0,0.0,0.0,0.0,0.0,48498.0,0.0
MG-CAMPESTRE,742.0,39162.0,2368.0,129702.0,4248.0,0.0,0.0,0.0,0.0,0.0,49490.0,0.0
MG-CAMPINA VERDE,0.0,40018.0,3712.0,72488.0,0.0,0.0,0.0,0.0,0.0,0.0,39006.0,0.0
