"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
624245,"Boa Vista","RR",4,1,1,487.8,535.3,523.5,581.4,360
4224360,"Mucajaí","RR",2,2,1,489.9,399.4,495.2,383.6,540
4243742,"Cantá","RR",2,1,1,,,,,
2712311,"São João da Baliza","RR",2,1,1,437.9,333.1,434.8,382.5,520
3734155,"Caracaraí","RR",1,2,1,,482.5,476.2,,420
523357,"Boa Vista","RR",2,1,1,439.9,451.1,459.8,394,0
3711695,"Boa Vista","RR",2,1,1,383.9,424.9,493,469.9,380
1502962,"Boa Vista","RR",2,1,1,387.8,478.2,493.4,471.3,400
3829597,"Boa Vista","RR",1,1,1,433.8,429,514.6,474.1,540
3952704,"Pacaraima","RR",2,1,1,421.3,521.3,502.3,428.6,300
2986967,"Boa Vista","RR",2,1,1,411.2,406.6,380.8,432.9,460
3673652,"Boa Vista","RR",2,1,1,,,,,
784259,"Boa Vista","RR",2,1,1,480.1,444.7,545.4,521.4,540
3971261,"Pacaraima","RR",2,2,1,,,,,
605645,"Boa Vista","RR",2,1,1,387.6,552.1,563.8,510.4,580
881563,"Boa Vista","RR",2,1,1,,,,,
588209,"Boa Vista","RR",2,1,1,359.8,414,343.7,489.1,620
2200821,"São João da Baliza","RR",2,1,1,580.3,496.5,511,491.2,0
3239562,"Boa Vista","RR",2,1,1,,,,,
310266,"Boa Vista","RR",2,1,1,420.4,389.2,479.9,512.3,600
3337663,"Pacaraima","RR",2,2,1,,286,385.5,,0
1758247,"Boa Vista","RR",1,1,1,558.8,438,388.7,406.7,480
4174616,"Boa Vista","RR",2,1,1,,,,,
1417948,"Boa Vista","RR",2,1,1,438.5,530.6,539.3,391.7,740
3988035,"Boa Vista","RR",4,1,1,,,,,
504348,"Boa Vista","RR",2,1,1,428.4,434.6,486.6,408.5,540
3991452,"Boa Vista","RR",2,1,1,404,457.5,405.9,471.9,600
2721745,"Boa Vista","RR",2,1,1,522.2,,,386.1,
4159054,"Amajari","RR",2,2,1,,,,,
3160028,"Boa Vista","RR",2,1,1,498.9,433.5,447.7,486.4,620
1188776,"Boa Vista","RR",2,1,1,,546,531.3,,560
3126779,"Boa Vista","RR",4,1,1,572.8,582.6,563.1,599.3,600
522836,"Boa Vista","RR",2,1,1,406.6,455.9,532.3,507.1,460
3490644,"Boa Vista","RR",2,1,1,521.9,415.1,418.4,434.3,320
2015329,"Boa Vista","RR",2,1,1,435.2,388.4,420.9,501.9,500
1109759,"Mucajaí","RR",2,1,1,,381.1,363.5,,260
3826148,"Boa Vista","RR",2,1,1,493,554.8,528.9,392.5,540
3416848,"Boa Vista","RR",2,1,1,,472.9,502,,680
2425389,"Boa Vista","RR",2,1,1,434,451.2,530.7,522.3,540
225270,"Boa Vista","RR",2,1,1,437.8,529.9,495.8,554,920
2047233,"Boa Vista","RR",2,1,1,490.8,527.9,490.4,408.2,600
1989074,"Boa Vista","RR",2,1,1,409.4,389.6,530,422.8,700
1626212,"Boa Vista","RR",2,1,1,519.7,412.4,376.1,530.2,420
4144228,"Mucajaí","RR",2,1,1,417.6,411.5,345,396.9,0
196601,"Boa Vista","RR",1,2,1,567.1,518.3,546.6,492.1,680
3600211,"Boa Vista","RR",2,1,1,451.5,467.8,452.1,407.5,440
52981,"Boa Vista","RR",2,1,1,449.3,431.2,392.7,462.9,600
965637,"Boa Vista","RR",2,1,1,442.3,396.4,511,487.5,560
1930847,"Caracaraí","RR",2,2,1,417.1,455.2,425.4,559.6,880
1345592,"Pacaraima","RR",2,1,1,,,,,
1370645,"Boa Vista","RR",2,1,1,354.3,417.6,423.6,520.2,0
1762464,"Boa Vista","RR",2,1,1,480.7,562,556,393.4,720
3292440,"Boa Vista","RR",2,1,1,450,553.9,556.9,617.7,740
119272,"Boa Vista","RR",2,1,1,416.1,475.6,441.8,415.2,260
2100338,"Boa Vista","RR",2,1,1,548,445.1,538.8,428.5,240
1863140,"Boa Vista","RR",2,1,1,430.3,436.7,454.6,461.2,580
4011404,"Bonfim","RR",2,1,1,,,,,
3971993,"Boa Vista","RR",4,1,1,,,,,
3941644,"Alto Alegre","RR",2,2,1,,,,,
388656,"Boa Vista","RR",2,1,1,476.9,489.3,546,405.4,660
3818976,"Boa Vista","RR",1,2,1,622.7,594,557.5,622.8,620
1863753,"Boa Vista","RR",2,1,1,,,,,
1491133,"Boa Vista","RR",2,1,1,428.8,468,491.3,479.6,500
1923391,"Boa Vista","RR",4,1,1,617.9,625.8,557.5,618.1,880
1481666,"Boa Vista","RR",4,1,1,482.3,439.8,526.5,448.1,480
4260869,"Boa Vista","RR",2,1,1,,,,,
2982979,"Boa Vista","RR",2,1,1,394.8,409.4,481.4,444.2,680
2172595,"Boa Vista","RR",2,1,1,684.1,713.2,631.1,826.1,700
4212219,"Boa Vista","RR",2,1,1,,361.9,447,,300
3821479,"Uiramutã","RR",2,2,1,382.8,431.7,433.8,418,520
3305480,"Boa Vista","RR",2,1,1,565.3,602.4,559.4,654.3,880
1963388,"Boa Vista","RR",2,1,1,443.3,473.6,392.8,437.3,480
1293266,"Iracema","RR",2,1,1,465.3,492,555.3,480.6,560
3878971,"Boa Vista","RR",2,1,1,,,,,
3174990,"Boa Vista","RR",4,1,1,395.4,384.3,505.3,482.8,0
1007948,"Boa Vista","RR",2,1,1,497.9,560.6,464.8,452.7,520
1293687,"Caracaraí","RR",1,2,1,480.6,526.6,547.6,468.3,700
3475482,"Boa Vista","RR",2,1,1,,325.3,382.4,,0
3720008,"Boa Vista","RR",2,1,1,,,,,
531513,"Boa Vista","RR",2,1,1,398.4,407.4,481.7,417.4,360
1350388,"Boa Vista","RR",2,1,1,,,,,
400506,"Caracaraí","RR",2,1,1,470.4,414.6,453.7,383,420
992109,"Boa Vista","RR",2,1,1,,360.9,421.2,,0
527048,"Boa Vista","RR",2,1,1,413.3,368,507.3,482.2,720
3791892,"Boa Vista","RR",2,1,1,,444.2,404.7,,440
3587843,"Boa Vista","RR",2,1,1,528.3,551.5,558.7,388.4,800
3576116,"Boa Vista","RR",2,1,1,372,523.6,482,456.1,560
1384213,"Boa Vista","RR",2,1,1,382.3,367.9,404.4,413.3,640
554652,"Mucajaí","RR",2,2,1,385.1,492.6,493.4,467.1,0
4079323,"Boa Vista","RR",2,1,1,496.8,506.5,446.9,487.6,420
3259131,"Pacaraima","RR",2,2,1,,,,,
2530131,"Boa Vista","RR",2,1,1,652.1,614.8,551.4,707.2,780
1690000,"Boa Vista","RR",2,1,1,463.7,442.5,450.6,400.4,480
3291423,"Boa Vista","RR",2,1,1,,,,,
