"NU_SEQUENCIAL","NO_MUNICIPIO_ESC","SG_UF_ESC","TP_DEPENDENCIA_ADM_ESC","TP_LOCALIZACAO_ESC","TP_SIT_FUNC_ESC","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO"
174485,"Ceres","GO",2,1,1,479.4,366,517.1,547.9,800
172623,"Senador Canedo","GO",2,1,1,496.7,559.9,536.6,481.7,880
2401298,"Trindade","GO",2,1,1,398.2,566.1,528.3,433.2,440
3465121,"Goiânia","GO",2,1,1,,,,,
1894240,"Rio Verde","GO",2,1,1,470.6,419,471.9,502.6,760
379483,"Aparecida de Goiânia","GO",2,1,1,567.1,725.9,639.6,679.3,880
1025391,"Goiânia","GO",4,1,1,488.3,558.1,577.5,610.5,960
524997,"Bela Vista de Goiás","GO",2,1,1,400.2,471,500.2,487.3,480
3502344,"Valparaíso de Goiás","GO",2,1,1,515.9,466.2,466.1,422,680
842351,"Minaçu","GO",4,1,1,592.8,663.2,603.8,728.7,960
2491561,"Catalão","GO",2,1,1,557.1,583.1,601.8,651.2,720
555555,"Cocalzinho de Goiás","GO",2,1,1,421.1,380.4,494.8,395.2,860
282873,"Cristalina","GO",2,2,1,401.8,352.4,464.2,499.6,680
577692,"Anápolis","GO",2,1,1,384.5,351.6,413.8,479.1,0
2664795,"Goiânia","GO",2,1,1,536.2,491.4,557.8,488.4,720
2462658,"Jataí","GO",2,1,1,452.7,394.7,480.4,520.9,560
3023202,"Cristalina","GO",2,1,1,,,,,
2147571,"Novo Gama","GO",2,1,1,491,435.9,519.8,418.3,560
175490,"Luziânia","GO",2,1,1,,,,,
2548021,"Rio Verde","GO",2,1,1,578.5,641.7,608.4,653.2,800
1172812,"Campo Limpo de Goiás","GO",2,1,1,376.9,348.8,396.3,462.9,500
2262621,"Goiânia","GO",4,1,1,710.4,727.5,625.5,926.4,900
1036394,"Aparecida de Goiânia","GO",2,1,1,546.2,474.1,433.3,644.7,460
3130992,"Goiânia","GO",2,1,1,,,,,
3154934,"Caldas Novas","GO",2,1,1,,,,,
3007008,"Campos Belos","GO",1,1,1,443.5,558.4,534.5,502.9,660
2470307,"Cristalina","GO",2,1,1,,,,,
1882310,"Caçu","GO",4,1,1,639.6,623.5,609,568.7,860
1187867,"Vila Propício","GO",2,2,1,,,,,
1470336,"Anápolis","GO",2,1,1,,,,,
1391046,"Morrinhos","GO",2,1,1,557.9,515.7,546.5,614.8,900
536762,"Aparecida de Goiânia","GO",2,1,1,528.2,551,517.8,495,880
3458725,"Anápolis","GO",2,1,1,,,,,
2048324,"Corumbaíba","GO",3,2,1,554.1,589.9,551.1,666.5,660
2617289,"Luziânia","GO",2,1,1,,,,,
48821,"Catalão","GO",2,1,1,473.9,502.7,504.7,435.7,540
1436956,"Edéia","GO",2,1,1,468.4,376.4,374.8,460.2,540
1039389,"Goiânia","GO",2,1,1,,,,,
3689833,"Aparecida de Goiânia","GO",2,1,1,395.3,316.8,421.9,426.7,320
1116208,"Goianira","GO",2,1,1,500.1,583.1,567,591,860
3662701,"Águas Lindas de Goiás","GO",2,1,1,,,,,
3912801,"Anápolis","GO",2,1,1,431,471.8,438.4,439,560
4220893,"Aragoiânia","GO",2,1,1,,,,,
157633,"Cidade Ocidental","GO",2,1,1,437,547,535.2,394.1,700
1389343,"Senador Canedo","GO",2,1,1,480.3,513.4,520,531.6,800
972276,"Jataí","GO",2,1,1,568.1,0,0,535.1,480
515293,"São Luís de Montes Belos","GO",4,1,1,566.4,614.6,572.4,672.4,780
513491,"Goiânia","GO",2,1,1,452.8,382.2,469.5,550.7,580
458130,"Água Fria de Goiás","GO",2,1,1,397.6,442.1,503.8,587.5,720
1070337,"Cidade Ocidental","GO",2,1,1,581.4,567.4,533.7,656,780
