#ANO;ESTADO;MUNICIPIO;ESFERA_GOVERNO;MODALIDADE_ENSINO;VALOR_TOTAL_ESCOLAS_PNAE
2018;AC;RIO BRANCO;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);49714
2018;AC;RIO BRANCO;MUNICIPAL;CRECHE;954440
2018;AC;RIO BRANCO;MUNICIPAL;EJA;54336
2018;AC;RIO BRANCO;MUNICIPAL;ENSINO FUNDAMENTAL;1007048,8
2018;AC;RIO BRANCO;MUNICIPAL;ENSINO Mï¿½DIO;6019,2
2018;AC;RIO BRANCO;MUNICIPAL;PRï¿½-ESCOLA;1084486
2018;AC;RODRIGUES ALVES;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);4293
2018;AC;RODRIGUES ALVES;MUNICIPAL;CRECHE;110745
2018;AC;RODRIGUES ALVES;MUNICIPAL;EJA;56620,8
2018;AC;RODRIGUES ALVES;MUNICIPAL;ENSINO FUNDAMENTAL;124738,2
2018;AC;RODRIGUES ALVES;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;16585,6
2018;AC;RODRIGUES ALVES;MUNICIPAL;PRï¿½-ESCOLA;62773,2
2018;AC;SANTA ROSA DO PURUS;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);1378
2018;AC;SANTA ROSA DO PURUS;MUNICIPAL;CRECHE;17548
2018;AC;SANTA ROSA DO PURUS;MUNICIPAL;EJA;8768
2018;AC;SANTA ROSA DO PURUS;MUNICIPAL;ENSINO FUNDAMENTAL;62630
2018;AC;SANTA ROSA DO PURUS;MUNICIPAL;INDï¿½GENA;142976
2018;AC;SANTA ROSA DO PURUS;MUNICIPAL;PRï¿½-ESCOLA;19292
2018;AC;SENA MADUREIRA;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);8162
2018;AC;SENA MADUREIRA;MUNICIPAL;CRECHE;66982
2018;AC;SENA MADUREIRA;MUNICIPAL;EJA;3648
2018;AC;SENA MADUREIRA;MUNICIPAL;ENSINO FUNDAMENTAL;472166
2018;AC;SENA MADUREIRA;MUNICIPAL;PRï¿½-ESCOLA;100806
2018;AC;SENADOR GUIOMARD;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);6360
2018;AC;SENADOR GUIOMARD;MUNICIPAL;CRECHE;49862
2018;AC;SENADOR GUIOMARD;MUNICIPAL;EJA;16832
2018;AC;SENADOR GUIOMARD;MUNICIPAL;ENSINO FUNDAMENTAL;234032
2018;AC;SENADOR GUIOMARD;MUNICIPAL;PRï¿½-ESCOLA;81832
2018;AC;TARAUACA;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);7738
2018;AC;TARAUACA;MUNICIPAL;CRECHE;61632
2018;AC;TARAUACA;MUNICIPAL;EJA;41856
2018;AC;TARAUACA;MUNICIPAL;ENSINO FUNDAMENTAL;673822
2018;AC;TARAUACA;MUNICIPAL;PRï¿½-ESCOLA;142040
2018;AC;XAPURI;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);954
2018;AC;XAPURI;MUNICIPAL;CRECHE;43014
2018;AC;XAPURI;MUNICIPAL;EJA;4224
2018;AC;XAPURI;MUNICIPAL;ENSINO FUNDAMENTAL;30376
2018;AC;XAPURI;MUNICIPAL;PRï¿½-ESCOLA;44202
2018;AL;AGUA BRANCA;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);16006
2018;AL;AGUA BRANCA;MUNICIPAL;CRECHE;27392
2018;AL;AGUA BRANCA;MUNICIPAL;EJA;28224
2018;AL;AGUA BRANCA;MUNICIPAL;ENSINO FUNDAMENTAL;210888
2018;AL;AGUA BRANCA;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;46576
2018;AL;AGUA BRANCA;MUNICIPAL;PRï¿½-ESCOLA;44096
2018;AL;AGUA BRANCA;MUNICIPAL;QUILOMBOLA;132864
2018;AL;ANADIA;MUNICIPAL;CRECHE;19046
2018;AL;ANADIA;MUNICIPAL;EJA;14656
2018;AL;ANADIA;MUNICIPAL;ENSINO FUNDAMENTAL;309166
2018;AL;ANADIA;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;78270,4
2018;AL;ANADIA;MUNICIPAL;PRï¿½-ESCOLA;55748
2018;AL;ARAPIRACA;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);43566
2018;AL;ARAPIRACA;MUNICIPAL;CRECHE;416872
2018;AL;ARAPIRACA;MUNICIPAL;EJA;150208
2018;AL;ARAPIRACA;MUNICIPAL;ENSINO FUNDAMENTAL;2563780
2018;AL;ARAPIRACA;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;95310,4
2018;AL;ARAPIRACA;MUNICIPAL;PRï¿½-ESCOLA;403118
2018;AL;ARAPIRACA;MUNICIPAL;QUILOMBOLA;130360
2018;AL;ATALAIA;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);20670
2018;AL;ATALAIA;MUNICIPAL;CRECHE;128614
2018;AL;ATALAIA;MUNICIPAL;EJA;115264
2018;AL;ATALAIA;MUNICIPAL;ENSINO FUNDAMENTAL;591124
2018;AL;ATALAIA;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;174148,8
2018;AL;ATALAIA;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - QUILOMBOLA;19264
2018;AL;ATALAIA;MUNICIPAL;PRï¿½-ESCOLA;123510
2018;AL;ATALAIA;MUNICIPAL;QUILOMBOLA;95104
2018;AL;BARRA DE SANTO ANTONIO;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);3243,6
2018;AL;BARRA DE SANTO ANTONIO;MUNICIPAL;CRECHE;52579,8
2018;AL;BARRA DE SANTO ANTONIO;MUNICIPAL;EJA;26766
2018;AL;BARRA DE SANTO ANTONIO;MUNICIPAL;ENSINO FUNDAMENTAL;221562
2018;AL;BARRA DE SANTO ANTONIO;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;5964
2018;AL;BARRA DE SANTO ANTONIO;MUNICIPAL;PRï¿½-ESCOLA;86284,8
2018;AL;BARRA DE SAO MIGUEL;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);6487,2
2018;AL;BARRA DE SAO MIGUEL;MUNICIPAL;CRECHE;35631
2018;AL;BARRA DE SAO MIGUEL;MUNICIPAL;EJA;8697,6
2018;AL;BARRA DE SAO MIGUEL;MUNICIPAL;ENSINO FUNDAMENTAL;101502
2018;AL;BARRA DE SAO MIGUEL;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;13632
2018;AL;BARRA DE SAO MIGUEL;MUNICIPAL;PRï¿½-ESCOLA;20431,8
2018;AL;BATALHA;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);1590
2018;AL;BATALHA;MUNICIPAL;CRECHE;85172
2018;AL;BATALHA;MUNICIPAL;EJA;93888
2018;AL;BATALHA;MUNICIPAL;ENSINO FUNDAMENTAL;206502
2018;AL;BATALHA;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;12496
2018;AL;BATALHA;MUNICIPAL;PRï¿½-ESCOLA;41764
2018;AL;BATALHA;MUNICIPAL;QUILOMBOLA;20916
2018;AL;BELEM;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);2968
2018;AL;BELEM;MUNICIPAL;CRECHE;41730
2018;AL;BELEM;MUNICIPAL;EJA;39936
2018;AL;BELEM;MUNICIPAL;ENSINO FUNDAMENTAL;52632
2018;AL;BELEM;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;55664
2018;AL;BELEM;MUNICIPAL;PRï¿½-ESCOLA;31086
2018;AL;BELEM;MUNICIPAL;QUILOMBOLA;5504
2018;AL;BELO MONTE;MUNICIPAL;CRECHE;52430
2018;AL;BELO MONTE;MUNICIPAL;EJA;11008
2018;AL;BELO MONTE;MUNICIPAL;ENSINO FUNDAMENTAL;81648
2018;AL;BELO MONTE;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;17494,4
2018;AL;BELO MONTE;MUNICIPAL;PRï¿½-ESCOLA;21836
2018;AL;BOCA DA MATA;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);7208
2018;AL;BOCA DA MATA;MUNICIPAL;CRECHE;88168
2018;AL;BOCA DA MATA;MUNICIPAL;EJA;35584
2018;AL;BOCA DA MATA;MUNICIPAL;ENSINO FUNDAMENTAL;253872
2018;AL;BOCA DA MATA;MUNICIPAL;ENSINO Mï¿½DIO;4752
2018;AL;BOCA DA MATA;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;38624
2018;AL;BOCA DA MATA;MUNICIPAL;PRï¿½-ESCOLA;64554
2018;AL;BRANQUINHA;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);3307,2
2018;AL;BRANQUINHA;MUNICIPAL;CRECHE;66425,6
2018;AL;BRANQUINHA;MUNICIPAL;EJA;12595,2
2018;AL;BRANQUINHA;MUNICIPAL;ENSINO FUNDAMENTAL;161747,2
2018;AL;BRANQUINHA;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;4771,2
2018;AL;BRANQUINHA;MUNICIPAL;PRï¿½-ESCOLA;36417,6
2018;AL;CACIMBINHAS;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);2544
2018;AL;CACIMBINHAS;MUNICIPAL;CRECHE;54142
2018;AL;CACIMBINHAS;MUNICIPAL;EJA;11712
2018;AL;CACIMBINHAS;MUNICIPAL;ENSINO FUNDAMENTAL;209326
2018;AL;CACIMBINHAS;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;111100,8
2018;AL;CACIMBINHAS;MUNICIPAL;PRï¿½-ESCOLA;33004
2018;AL;CACIMBINHAS;MUNICIPAL;QUILOMBOLA;21120
2018;AL;CAJUEIRO;MUNICIPAL;CRECHE;132038
2018;AL;CAJUEIRO;MUNICIPAL;EJA;28672
2018;AL;CAJUEIRO;MUNICIPAL;ENSINO FUNDAMENTAL;721366
2018;AL;CAJUEIRO;MUNICIPAL;PRï¿½-ESCOLA;68424
2018;AL;CAMPESTRE;MUNICIPAL;CRECHE;25252
2018;AL;CAMPESTRE;MUNICIPAL;EJA;27584
2018;AL;CAMPESTRE;MUNICIPAL;ENSINO FUNDAMENTAL;88442
2018;AL;CAMPESTRE;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;34080
2018;AL;CAMPESTRE;MUNICIPAL;PRï¿½-ESCOLA;20458
2018;AL;CAMPO ALEGRE;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);10918
2018;AL;CAMPO ALEGRE;MUNICIPAL;CRECHE;228980
2018;AL;CAMPO ALEGRE;MUNICIPAL;EJA;76864
2018;AL;CAMPO ALEGRE;MUNICIPAL;ENSINO FUNDAMENTAL;916334
2018;AL;CAMPO ALEGRE;MUNICIPAL;PRï¿½-ESCOLA;204584
2018;AL;CAMPO GRANDE;MUNICIPAL;CRECHE;10058
2018;AL;CAMPO GRANDE;MUNICIPAL;EJA;86572
2018;AL;CAMPO GRANDE;MUNICIPAL;ENSINO FUNDAMENTAL;133920
2018;AL;CAMPO GRANDE;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;40328
2018;AL;CAMPO GRANDE;MUNICIPAL;PRï¿½-ESCOLA;31800
2018;AL;CANAPI;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);3286
2018;AL;CANAPI;MUNICIPAL;CRECHE;108498
2018;AL;CANAPI;MUNICIPAL;EJA;88064
2018;AL;CANAPI;MUNICIPAL;ENSINO FUNDAMENTAL;302948
2018;AL;CANAPI;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;9088
2018;AL;CANAPI;MUNICIPAL;PRï¿½-ESCOLA;58300
2018;AL;CANAPI;MUNICIPAL;QUILOMBOLA;37504
2018;AL;CAPELA;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);3816
2018;AL;CAPELA;MUNICIPAL;CRECHE;71904
2018;AL;CAPELA;MUNICIPAL;EJA;78720
2018;AL;CAPELA;MUNICIPAL;ENSINO FUNDAMENTAL;490044
2018;AL;CAPELA;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;39192
2018;AL;CAPELA;MUNICIPAL;PRï¿½-ESCOLA;76040
2018;AL;CARNEIROS;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);2862
2018;AL;CARNEIROS;MUNICIPAL;CRECHE;35310
2018;AL;CARNEIROS;MUNICIPAL;EJA;18048
2018;AL;CARNEIROS;MUNICIPAL;ENSINO FUNDAMENTAL;139304
2018;AL;CARNEIROS;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;48620,8
2018;AL;CARNEIROS;MUNICIPAL;PRï¿½-ESCOLA;28302
2018;AL;CARNEIROS;MUNICIPAL;QUILOMBOLA;13568
2018;AL;CHA PRETA;MUNICIPAL;CRECHE;11384,8
2018;AL;CHA PRETA;MUNICIPAL;EJA;4300,8
2018;AL;CHA PRETA;MUNICIPAL;ENSINO FUNDAMENTAL;107321,2
2018;AL;CHA PRETA;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;9017
2018;AL;CHA PRETA;MUNICIPAL;PRï¿½-ESCOLA;18417
2018;AL;COITE DO NOIA;MUNICIPAL;CRECHE;24182
2018;AL;COITE DO NOIA;MUNICIPAL;EJA;24000
2018;AL;COITE DO NOIA;MUNICIPAL;ENSINO FUNDAMENTAL;124918
2018;AL;COITE DO NOIA;MUNICIPAL;PRï¿½-ESCOLA;44202
2018;AL;COLONIA LEOPOLDINA;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);2014
2018;AL;COLONIA LEOPOLDINA;MUNICIPAL;CRECHE;21400
2018;AL;COLONIA LEOPOLDINA;MUNICIPAL;EJA;34048
2018;AL;COLONIA LEOPOLDINA;MUNICIPAL;ENSINO FUNDAMENTAL;239398
2018;AL;COLONIA LEOPOLDINA;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;22720
2018;AL;COLONIA LEOPOLDINA;MUNICIPAL;PRï¿½-ESCOLA;55634
2018;AL;COQUEIRO SECO;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);1696
2018;AL;COQUEIRO SECO;MUNICIPAL;CRECHE;13910
2018;AL;COQUEIRO SECO;MUNICIPAL;EJA;8192
2018;AL;COQUEIRO SECO;MUNICIPAL;ENSINO FUNDAMENTAL;139746
2018;AL;COQUEIRO SECO;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;26355,2
2018;AL;COQUEIRO SECO;MUNICIPAL;PRï¿½-ESCOLA;22196
2018;AL;CORURIPE;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);17914
2018;AL;CORURIPE;MUNICIPAL;CRECHE;362944
2018;AL;CORURIPE;MUNICIPAL;EJA;91520
2018;AL;CORURIPE;MUNICIPAL;ENSINO FUNDAMENTAL;843128
2018;AL;CORURIPE;MUNICIPAL;PRï¿½-ESCOLA;187302
2018;AL;CRAIBAS;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);4876
2018;AL;CRAIBAS;MUNICIPAL;CRECHE;90522
2018;AL;CRAIBAS;MUNICIPAL;EJA;68928
2018;AL;CRAIBAS;MUNICIPAL;ENSINO FUNDAMENTAL;500088
2018;AL;CRAIBAS;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;79065,6
2018;AL;CRAIBAS;MUNICIPAL;PRï¿½-ESCOLA;69642
2018;AL;DELMIRO GOUVEIA;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);43884
2018;AL;DELMIRO GOUVEIA;MUNICIPAL;CRECHE;53500
2018;AL;DELMIRO GOUVEIA;MUNICIPAL;EJA;45440
2018;AL;DELMIRO GOUVEIA;MUNICIPAL;ENSINO FUNDAMENTAL;526102
2018;AL;DELMIRO GOUVEIA;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;464624
2018;AL;DELMIRO GOUVEIA;MUNICIPAL;PRï¿½-ESCOLA;136634
2018;AL;DELMIRO GOUVEIA;MUNICIPAL;QUILOMBOLA;11866
2018;AL;DOIS RIACHOS;MUNICIPAL;CRECHE;26536
2018;AL;DOIS RIACHOS;MUNICIPAL;EJA;101504
2018;AL;DOIS RIACHOS;MUNICIPAL;ENSINO FUNDAMENTAL;144840
2018;AL;DOIS RIACHOS;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;40328
2018;AL;DOIS RIACHOS;MUNICIPAL;PRï¿½-ESCOLA;27150
2018;AL;ESTRELA DE ALAGOAS;MUNICIPAL;CRECHE;72760
2018;AL;ESTRELA DE ALAGOAS;MUNICIPAL;EJA;49600
2018;AL;ESTRELA DE ALAGOAS;MUNICIPAL;ENSINO FUNDAMENTAL;252918
2018;AL;ESTRELA DE ALAGOAS;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;67819,2
2018;AL;ESTRELA DE ALAGOAS;MUNICIPAL;PRï¿½-ESCOLA;53628
2018;AL;FEIRA GRANDE;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);5830
2018;AL;FEIRA GRANDE;MUNICIPAL;CRECHE;43656
2018;AL;FEIRA GRANDE;MUNICIPAL;EJA;100544
2018;AL;FEIRA GRANDE;MUNICIPAL;ENSINO FUNDAMENTAL;249980
2018;AL;FEIRA GRANDE;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;70545,6
2018;AL;FEIRA GRANDE;MUNICIPAL;PRï¿½-ESCOLA;57664
2018;AL;FELIZ DESERTO;MUNICIPAL;CRECHE;28034
2018;AL;FELIZ DESERTO;MUNICIPAL;EJA;5056
2018;AL;FELIZ DESERTO;MUNICIPAL;ENSINO FUNDAMENTAL;70356
2018;AL;FELIZ DESERTO;MUNICIPAL;PRï¿½-ESCOLA;14946
2018;AL;FLEXEIRAS;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);3074
2018;AL;FLEXEIRAS;MUNICIPAL;CRECHE;43442
2018;AL;FLEXEIRAS;MUNICIPAL;EJA;43712
2018;AL;FLEXEIRAS;MUNICIPAL;ENSINO FUNDAMENTAL;212300
2018;AL;FLEXEIRAS;MUNICIPAL;MAIS EDUCAï¿½ï¿½O (PARC. COMPLEM.) - FUNDAMENTAL;2130
2018;AL;FLEXEIRAS;MUNICIPAL;PRï¿½-ESCOLA;40068
2018;AL;GIRAU DO PONCIANO;MUNICIPAL;ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE);3286
